name,head_size,length,power,flex,tension,brand,beam_width,weight,balance,speed,composition,price,swing_weight
Racquet160,98.0,27.0,0,67.0,54.5,Babolat,21.7,314.5,0,2,graphite,219.0,330.0
Racquet161,98.0,27.0,0,64.0,52.5,Dunlop,21.5,314.5,0,2,sonic core with infinergy,99.99,318.0
Racquet162,100.0,27.0,0,65.0,54.5,Babolat,24.0,322.5,0,2,graphite,229.0,331.0
Racquet163,100.0,27.0,1,52.0,53.0,Wilson,24.5,289.0,0,1,high performance carbon fiber,229.0,310.0
Racquet164,100.0,27.0,2,65.0,52.0,Yonex,24.0,279.0,0,1,h.m. graphite black micro core namd,179.0,305.0
Racquet165,104.0,27.5,1,60.0,55.0,Wilson,22.0,298.0,0,1,braided graphite + basalt,199.0,321.0
Racquet166,100.0,27.0,1,73.0,54.0,Tecnifibre,25.4,278.0,1,1,graphite,209.95,306.0
Racquet167,104.0,27.3,1,70.0,55.0,Volkl,23.7,298.0,0,1,v cell & graphite,179.99,321.0
Racquet168,110.0,27.6,2,68.0,55.0,Volkl,26.0,294.0,0,0,vcell graphite,199.99,312.0
Racquet169,115.0,27.6,2,68.0,55.0,Volkl,28.0,273.5,0,0,vcell graphite,229.99,317.0
Racquet170,100.0,27.0,1,67.0,54.5,Babolat,24.0,293.5,0,1,graphite,209.0,311.0
Racquet171,100.0,27.0,0,49.0,53.0,Wilson,24.5,302.5,0,2,high performance carbon fiber,249.0,327.0
Racquet172,100.0,27.0,1,68.0,55.0,Wilson,22.0,294.0,0,1,braided graphite + basalt,199.0,317.0
Racquet173,105.0,27.5,1,72.0,57.5,Pro,26.0,293.0,0,1,graphite spiraltech carbon,189.0,320.0
Racquet174,115.0,27.5,2,75.0,52.5,Dunlop,27.0,262.0,2,0,sonic core,229.0,314.0
Racquet175,100.0,27.0,2,65.0,52.0,Yonex,24.0,279.0,0,1,h.m. graphite black micro core namd,179.0,305.0
Racquet176,102.0,27.0,1,68.0,55.0,Volkl,25.0,294.0,0,1,vcell graphite,199.99,308.0
Racquet177,98.0,27.0,0,67.0,54.5,Babolat,21.7,314.5,0,2,graphite,219.0,332.0
Racquet178,98.0,27.0,0,63.0,57.5,Pro,19.5,332.5,0,2,graphite spiraltech carbon,169.0,327.0
Racquet179,98.0,27.0,0,52.0,53.0,Wilson,24.0,317.5,0,2,high performance carbon fiber,249.0,329.0
Racquet180,98.0,27.0,0,69.0,55.0,Volkl,20.3,308.0,0,2,vcell graphite,199.99,312.0
Racquet181,110.0,27.5,2,76.0,52.5,Dunlop,26.3,262.0,2,0,sonic core,229.0,315.0
Racquet182,100.0,27.0,1,68.0,54.5,Babolat,24.0,309.5,0,2,graphite,219.0,323.0
Racquet183,100.0,27.0,0,65.0,57.5,Pro,22.0,305.0,0,2,spiral tech carbon graphite,159.99,320.0
Racquet184,137.0,29.0,2,64.0,57.5,Gamma,22.7,286.5,2,0,graphite,219.99,412.0
Racquet185,100.0,27.0,0,70.0,54.5,Babolat,24.0,322.0,0,2,graphite,219.0,320.0
Racquet186,107.0,27.0,0,56.0,57.0,Head,21.0,302.0,0,2,graphite microgel,89.95,319.0
Racquet187,105.0,27.5,1,70.0,57.5,Pro,24.2,305.0,0,2,spiral tech carbon graphite,169.99,337.0
Racquet188,110.0,27.5,1,70.0,58.0,Wilson,26.5,246.5,2,1,hyper carbon and graphite,99.0,307.0
Racquet189,115.0,27.25,1,69.0,50.0,Yonex,27.0,268.0,2,0,h.m. graphite vibslayer carbon quake shut gel+,259.0,311.0
Racquet190,100.0,27.5,0,69.0,54.5,Babolat,24.0,322.0,0,2,graphite,219.0,321.0
Racquet191,115.0,27.6,2,66.0,52.5,Babolat,25.7,249.5,2,0,graphite,159.0,314.0
Racquet192,100.0,27.38,1,65.0,55.0,Pacific,23.8,293.5,0,2,graphite basalt,129.95,303.0
Racquet193,100.0,27.0,0,62.0,57.5,Pro,22.5,302.0,0,2,spiral tech carbon graphite,129.95,314.0
Racquet194,105.0,27.0,1,72.0,47.5,Yonex,27.0,279.0,0,0,h.m. graphite vibslayer carbon quake shut gel+,259.0,306.0
Racquet195,97.0,27.0,1,68.0,55.0,Wilson,23.0,296.0,0,2,braided graphite,199.0,313.0
Racquet196,115.0,27.5,2,74.0,61.5,Head,28.5,232.5,2,0,graphite intellifiber,99.95,315.0
Racquet197,105.0,27.25,1,63.0,47.5,Dunlop,24.2,276.0,0,1,sonic core graphite,89.0,322.0
Racquet198,100.0,27.0,1,67.0,52.5,Dunlop,24.0,293.5,0,2,sonic core graphite,99.99,311.0
Racquet199,98.0,27.0,0,57.0,57.0,Head,21.0,302.0,0,2,graphite microgel,89.95,308.0
Racquet200,117.0,27.0,2,64.0,60.0,Gamma,22.5,256.5,2,1,graphite,219.99,310.0
Racquet201,100.0,27.36,0,57.0,55.0,Pacific,23.3,293.5,0,2,graphite basalt,149.95,323.0
Racquet202,100.0,27.0,0,63.0,57.5,Pro,22.0,327.5,0,2,spiral tech carbon graphite,159.99,324.0
Racquet203,107.0,27.2,1,66.0,54.5,Babolat,24.0,293.5,0,1,graphite,199.0,321.0
Racquet204,115.0,27.5,2,76.0,61.5,Head,28.5,243.5,2,1,graphite titanium composite,79.95,303.0
Racquet205,100.0,27.0,1,67.0,54.5,Babolat,24.0,293.5,0,1,graphite,199.0,321.0
Racquet206,105.0,27.5,2,68.0,57.5,Pro,24.2,265.0,0,1,spiral tech carbon graphite,169.99,319.0
Racquet207,95.0,27.0,0,60.0,52.5,Yonex,20.7,317.5,0,2,h.m. graphite black micro core namd,229.0,323.0
Racquet208,100.0,27.5,1,69.0,54.5,Babolat,24.0,308.0,0,1,graphite,219.0,320.0
Racquet209,100.0,27.0,2,72.0,55.0,Genesis,24.0,325.0,0,2,toray carbon fibers,169.9,323.0
